datetime_UTC,lat,lon
2024.01.31 14:15:00,52.689718,13.370528
2024.01.31 14:15:01,52.68970672727273,13.370521363636364
2024.01.31 14:15:02,52.68969545454545,13.370514727272727
2024.01.31 14:15:03,52.68968418181818,13.370508090909091
2024.01.31 14:15:04,52.68967290909091,13.370501454545455
2024.01.31 14:15:05,52.68966163636364,13.370494818181818
2024.01.31 14:15:06,52.68965036363636,13.370488181818182
2024.01.31 14:15:07,52.68963909090909,13.370481545454545
2024.01.31 14:15:08,52.68962781818182,13.370474909090909
2024.01.31 14:15:09,52.68961654545455,13.370468272727273
2024.01.31 14:15:10,52.68960527272727,13.370461636363636
2024.01.31 14:15:11,52.689594,13.370455
2024.01.31 14:15:12,52.689609636363635,13.370353909090909
2024.01.31 14:15:13,52.68962527272727,13.370252818181818
2024.01.31 14:15:14,52.68964090909091,13.370151727272727
2024.01.31 14:15:15,52.68965654545455,13.370050636363636
2024.01.31 14:15:16,52.68967218181818,13.369949545454546
2024.01.31 14:15:17,52.68968781818182,13.369848454545455
2024.01.31 14:15:18,52.68970345454545,13.369747363636364
2024.01.31 14:15:19,52.68971909090909,13.369646272727273
2024.01.31 14:15:20,52.68973472727273,13.369545181818182
2024.01.31 14:15:21,52.689750363636364,13.369444090909091
2024.01.31 14:15:22,52.689766,13.369343
2024.01.31 14:15:23,52.68976618181818,13.369325727272727
2024.01.31 14:15:24,52.689766363636366,13.369308454545456
2024.01.31 14:15:25,52.689766545454546,13.369291181818182
2024.01.31 14:15:26,52.689766727272726,13.369273909090909
2024.01.31 14:15:27,52.689766909090906,13.369256636363637
2024.01.31 14:15:28,52.68976709090909,13.369239363636364
2024.01.31 14:15:29,52.68976727272727,13.369222090909092
2024.01.31 14:15:30,52.68976745454545,13.369204818181819
2024.01.31 14:15:31,52.689767636363634,13.369187545454546
2024.01.31 14:15:32,52.68976781818182,13.369170272727274
2024.01.31 14:15:33,52.689768,13.369153
2024.01.31 14:15:34,52.689766,13.369137181818182
2024.01.31 14:15:35,52.689764000000004,13.369121363636363
2024.01.31 14:15:36,52.689762,13.369105545454547
2024.01.31 14:15:37,52.68976,13.369089727272728
2024.01.31 14:15:38,52.689758,13.36907390909091
2024.01.31 14:15:39,52.689756,13.36905809090909
2024.01.31 14:15:40,52.689754,13.369042272727272
2024.01.31 14:15:41,52.689752,13.369026454545454
2024.01.31 14:15:42,52.68975,13.369010636363637
2024.01.31 14:15:43,52.689748,13.368994818181818
2024.01.31 14:15:44,52.689746,13.368979
2024.01.31 14:15:45,52.689735545454546,13.368943999999999
2024.01.31 14:15:46,52.68972509090909,13.368909
2024.01.31 14:15:47,52.68971463636363,13.368874
2024.01.31 14:15:48,52.68970418181818,13.368839
2024.01.31 14:15:49,52.689693727272726,13.368803999999999
2024.01.31 14:15:50,52.68968327272727,13.368769
2024.01.31 14:15:51,52.68967281818182,13.368734
2024.01.31 14:15:52,52.689662363636366,13.368699
2024.01.31 14:15:53,52.689651909090905,13.368663999999999
2024.01.31 14:15:54,52.68964145454545,13.368629
2024.01.31 14:15:55,52.689631,13.368594
2024.01.31 14:15:56,52.68962227272727,13.368571909090909
2024.01.31 14:15:57,52.68961354545454,13.368549818181819
2024.01.31 14:15:58,52.68960481818182,13.368527727272728
2024.01.31 14:15:59,52.68959609090909,13.368505636363636
2024.01.31 14:16:00,52.68958736363636,13.368483545454545
2024.01.31 14:16:01,52.689578636363635,13.368461454545455
2024.01.31 14:16:02,52.689569909090906,13.368439363636364
2024.01.31 14:16:03,52.68956118181818,13.368417272727273
2024.01.31 14:16:04,52.689552454545456,13.368395181818181
2024.01.31 14:16:05,52.68954372727273,13.368373090909092
2024.01.31 14:16:06,52.689535,13.368351
2024.01.31 14:16:07,52.689527,13.368337181818182
2024.01.31 14:16:08,52.689519,13.368323363636364
2024.01.31 14:16:09,52.689511,13.368309545454546
2024.01.31 14:16:10,52.689503,13.368295727272727
2024.01.31 14:16:11,52.689495,13.368281909090909
2024.01.31 14:16:12,52.689487,13.368268090909092
2024.01.31 14:16:13,52.689479,13.368254272727274
2024.01.31 14:16:14,52.689471,13.368240454545456
2024.01.31 14:16:15,52.689463,13.368226636363637
2024.01.31 14:16:16,52.689455,13.368212818181819
2024.01.31 14:16:17,52.689447,13.368199
2024.01.31 14:16:18,52.68943609090909,13.36818990909091
2024.01.31 14:16:19,52.68942518181818,13.368180818181818
2024.01.31 14:16:20,52.68941427272728,13.368171727272728
2024.01.31 14:16:21,52.689403363636366,13.368162636363637
2024.01.31 14:16:22,52.689392454545455,13.368153545454547
2024.01.31 14:16:23,52.689381545454545,13.368144454545455
2024.01.31 14:16:24,52.689370636363634,13.368135363636364
2024.01.31 14:16:25,52.68935972727272,13.368126272727274
2024.01.31 14:16:26,52.68934881818182,13.368117181818183
2024.01.31 14:16:27,52.68933790909091,13.368108090909091
2024.01.31 14:16:28,52.689327,13.368099
2024.01.31 14:16:29,52.68930127272727,13.368083636363638
2024.01.31 14:16:30,52.68927554545454,13.368068272727273
2024.01.31 14:16:31,52.68924981818182,13.36805290909091
2024.01.31 14:16:32,52.68922409090909,13.368037545454547
2024.01.31 14:16:33,52.689198363636365,13.368022181818182
2024.01.31 14:16:34,52.68917263636364,13.368006818181819
2024.01.31 14:16:35,52.68914690909091,13.367991454545454
2024.01.31 14:16:36,52.68912118181818,13.36797609090909
2024.01.31 14:16:37,52.68909545454546,13.367960727272727
2024.01.31 14:16:38,52.68906972727273,13.367945363636363
2024.01.31 14:16:39,52.689044,13.36793
